,text
196,According to the [issue tracker of highcharts](https://github.com/highcharts/highcharts/issues/4405#issuecomment-125124004) they do not consider the code open source. It's available for reading but that's about it.\r\n\r\nThe code is provided under CC-BY-NC via github.\r\n\r\nSee also:\r\nhttps://shop.highsoft.com/faq#Non-Commercial-0 HighCharts is not open source >>> 1
197,"Timeseries scale added, see this issue for more info: https://github.com/chartjs/Chart.js/issues/4189\r\n\r\nsmall example here: https://codepen.io/ilyabelyaev/pen/BRvKPw Timeseries scale >>> 0"
198,"The text is centered within the line height, so setting the line height to a size greater than the font size moves it away from the axis edge.\r\n\r\nResolves #3562 Line height setting for scale titles >>> 1"
199,"Resolves #4398  When the legend label options are not defined, no error should occur >>> 1"
200,Also added tests\r\n\r\nresolves #4391  Ensure deprecated unitStepSize property of time scale is respected >>> 1
201,Elements were resizing incorrectly if they were resized while collapsed. Added a check to avoid this issue. fix/4397 >>> 1
202,Resolves #3992 ticks.padding option applies to both vertical and horizontal axes >>> 1
203,* Fixed arguments in IPlugin#before/afterDatasetUpdate description\r\n* Fixed arguments in IPlugin#before/afterDatasetDraw description Fix arguments in plugin interface description >>> 1
204,Add aria-hidden=true attribute to hidden iframe for resizing. This prevents screen readers in ItemMode from navigating to the hidden iframe Add aria-hidden=true attribute to hidden iframe for resizing >>> 1
205,- Up to date with the latest code\r\n- Added Example column Update Display Format table >>> 1
206,"Move some of the ""core"" and ""canvas"" utils in `helpers.core.js` and `helpers.canvas.js` and introduce the new `isNullOrUndef` and `isObject` helpers. Deprecate `indexOf` and rename `drawRoundedRectangle` to `roundedRect` which now creates a simple `rect` path if radius is 0. Write missing unit tests for the moved helpers.\r\n Cleanup and reorganize core and canvas helpers >>> 1"
207,Raise the cyclomatic complexity to 10 which seems to better match the project coding style and still reasonable (6 being quite low). Also move unit tests specific eslint rules in the cascaded `./test/.eslintrc` file (previously in `gulp.js`).\r\n Increase ESLint complexity and add config for tests >>> 1
208,"The `clone` method now accepts any type of input but also recursively perform a deep copy of the array items. Rewrite the `configMerge` and `scaleMerge` helpers which now rely on a new generic and customizable `merge` method, that one accepts a target object in which multiple sources are deep copied. Note that the target (first argument) is not cloned and will be modified after calling `merge(target, sources)`. Add a `mergeIf` helper which merge the source properties only if they do not exist in the target object.\r\n\r\n@chartjs/maintainers please review this PR carefully since it impacts the whole config process :) Rewrite the clone and merge helpers >>> 1"
209,"For consistency with `valueOrDefault`, `valueAtIndexOrDefault` now returns null if `value` (expected array) is null. Also get rid of the superfluous `get` prefix in `getValueOrDefault` and `getValueAtIndexOrDefault`.\r\n Change `valueAtIndexOrDefault` behavior >>> 1"
210,"Deprecate `addEvent` and `removeEvent`, and move implementation in `platform.dom.js`. Add 'options' feature detection to register event listeners as passive and prevent warning in Chrome.\r\n\r\nReplaces #4356\r\nFixes #4287 Fix non-passive event listener warning in Chrome >>> 1"
211,"Resolves #4372 \r\n\r\nNote: This is a potentially breaking change if we think that scatter defaults should show lines. In which case, I will update the two sample files Update scatter chart default to hide lines >>> 1"
212,"Resolves #4216 \r\n\r\n## Cause\r\nWhat happened in that bug was the following:\r\n1. All datasets hidden so x axis moves into default range\r\n2. X axis `ticks.min` property set which changes the default range\r\n3. The max of the x axis ended up being NaN hence why the axis drew incorrectly\r\n\r\n## Fix\r\nTo fix this, the range is checked after `ticks.min` and `ticks.max` are handled to ensure that the range is valid and that `min < max`. Fix range calculation when all datasets hidden and axis minimum set >>> 1"
213,"For example, when the radius is too high:\r\n![image](https://user-images.githubusercontent.com/3874900/27760215-44dcb220-5e42-11e7-9181-157c4b2709bb.png) ![image](https://user-images.githubusercontent.com/3874900/27760236-bcf18a9c-5e42-11e7-8fbe-2135d5aca41f.png)\r\n(left: master, right: PR) Clamp radius when drawing rounded rectangle >>> 1"
0,"LongGCDisruption simulates a Long GC by suspending all threads belonging to a node. That's fine, unless those threads hold shared locks that can prevent other nodes from running. Concretely the logging infrastructure, which is shared between the nodes, can cause some deadlocks. LongGCDisruption has protection for this, but it needs to be updated to point at log4j2 classes, introduced in #20235\n\nThis commit also fixes improper handling of retry logic in LongGCDisruption and adds a protection against deadlocking the test code which activates the disruption (and uses logging too! :)).\n\nOn top of that we have some new, evil and nasty tests.\n Fix LongGCDisruption to be aware of log4j2 >>> 1"
1,"During a networking partition, cluster states updates (like mapping changes or shard assignments)\nare committed if a majority of the masters node received the update correctly. This means that the current master has access to enough nodes in the cluster to continue to operate correctly. When the network partition heals, the isolated nodes catch up with the current state and get the changes they couldn't receive before. However, if a second partition happens while the cluster\nis still recovering from the previous one _and_ the old master is put in the minority side, it may be that a new master is elected which did not yet catch up. If that happens, cluster state updates can be lost.\n\nThis commit fixed 95% of this rare problem by adding the current cluster state version to `PingResponse` and use them when deciding which master to join (and thus casting the node's vote). \n\nNote: this doesn't fully mitigate the problem as a cluster state update which is issued concurrently with a network partition can be lost if the partition prevents the commit message (part of the two phased commit of cluster state updates) from reaching any single node in the majority side _and_ the partition does allow for the master to acknowledge the change. We are working on a more comprehensive fix but that requires considerate work  and is targeted at 6.0.\n\nPS this PR contains and depends on #20348 , which was required for long testing. That part doesn't need to be reviewed.\n Add current cluster state version to zen pings and use them in master election >>> 1"
2,The only repository we can be sure is safe to clean is `fs` so we clean\nany snapshots in those repositories after each test. Other repositories\nlike url and azure tend to throw exceptions rather than let us fetch\ntheir contents during the REST test. So we clean what we can....\n\nCloses #18159\n Clean up snapshots where possible after each REST test >>> 1
3,"Currently, we check if a node has the same set of custom metadata \nas the master before joining the cluster. This implies freshly installing \na plugin that has its custom metadata requires a full cluster restart.\n [DOC] Add note requiring full cluster restart for installing plugins with custom metadata >>> 1"
4,`GET /` now returns the clusterUUID as well as part of its output for monitoring purposes\n Add clusterUUID to RestMainAction output >>> 1
5,Adds an integration test for the file-based discovery plugin\nto test the plugin operates correctly and uses the hosts\nconfigured in `unicast_hosts.txt` with a real cluster\n\nCloses #20459\n File-based discovery plugin integration tests >>> 1
6,"TransportService is such a central part of the core server, replacing\nit's implementation is risky and can cause serious issues. This change removes the ability to\nplug in TransportService but allows registering a `TransportInterceptor` that enables\nplugins to intercept requests on both the sender and the receiver ends. This is a commonly used\nand overwritten functionality but encapsulates the custom code in a contained manner.\n Remove ability to plug-in TransportService >>> 1"
7,GET / now returns the clusterUUID as well as part of its output for monitoring purposes\n\nThis is the backport of #20503.\n Add clusterUUID to RestMainAction output >>> 1
8,We now have in 5.0.0 `ingest-attachment` plugin.\nWe can remove `mapper-attachments` plugin for 6.0.\n\nCloses #18837.\n Remove mapper attachments plugin >>> 1
9,If an index was created with pre 2.0 we should not treat it as supported\neven if all segments have been upgraded to a supported lucene version.\n\nCloses #20512\n Ensure elasticsearch doesn't start with unuspported indices >>> 1
10,"Currently, we silently accept malformed query where more\nthan one key is defined at the top-level for query object.\nIf all the keys have a valid query body, only the last query\nis executed, besides throwing off parsing for additional suggest,\naggregation or highlighting defined in the search request.\n\nThis commit throws a parsing exception when we encounter a query\nwith multiple keys.\n\ncloses #20500\n Fix silently accepting malformed queries >>> 1"
11,This pull request is a cleanup of two issues for plugins: \n- the plugin command specified in an error message for the remove\n  plugin command is incorrect\n- remove the ability to specify a custom path for plugins\n\nCloses #18588\n Plugins cleanup >>> 1
12,"This adds details about the `""version""` field to both the template and pipeline pages.\n [DOCS] Add ""version"" to template and pipeline docs >>> 1"
13,"A few of our unit tests generate a random search request body and run tests against it. The source can optionally contain ext elements under the ext sections, which can be parsed by plugins. With this commit we introduce a plugin so that the search requests tests don't use the one from `FetchSubPhasePluginIT` anymore. They rather generate multiple search ext elements. The plugin can parse and deal with all those. This extends the test coverage as we may have multiple elements with random names.\n\nTook the chance to introduce a common test base class for search requests, called `AbstractSearchTestCase`, given that the setup phase is the same for all three tests around search source. Then we can have the setup isolated to the base class and the subclasses relying on it.\n\nCloses #17685\n introduce test plugin to inject random search ext elements in search request tests >>> 1"
14,"Add missing readBytes in `ip` field deserialization\nAdd (de)serialization tests for all types\nThis change also removes the ability to set FieldStats.minValue or FieldStats.maxValue to null, this is not required anymore since the stats are built on fields with values only.\n\nFixes #20516\n Fix FieldStats deserialization of `ip` field >>> 1"
15,The `/_cat/nodes` document is just obsolete.\n\ncloses #20162\n [DOC] Update /_cat/nodes doc >>> 1
16,"This is just the 2.4.x backport for #19554.\n\nI had to add a core test dependency on `securemock` (the new test cause uses mockito), and upgrade it from 1.1 to 1.2; not sure this is OK/safe, so could someone who knows better please comment?\n Guard against negative result from FileStore.getUsableSpace when pick… >>> 1"
17,"This change removes all guice interaction from Transport, HttpServerTransport,\nHttpServer and TransportService. All these classes as well as their subclasses\nor extended version configured via plugins are now created by using plain old\nbloody java constructors. YAY!\n Unguice Transport and friends >>> 1"
18,"I was following the `Getting Started` chapter and found out, that I had a different response structure after successfully indexing a document. With this change I added `_shards` and `result` keys to the response.\n Edited response structure on indexing a document >>> 1"
19,"Most of our queries support a single field name, the field that gets queried. That is the key of the object which contains the query options. For such queries, in case multiple fields are presented, in most of the cases the query goes through and either the last or the first field only will be read and queried.\n\nThis PR changes the behaviour of all those parsers to throw exception in case multiple field names are provided.\n\nCloses #19547\n Query parsers to throw exception when multiple field names are provided >>> 1"
20,"Followup to #20515 where we added validation that after we parse a query within a query element, we should not get a field name. Truth is that the only token allowed at that point is END_OBJECT, as our DSL allows only one single query within the query object:\n\n```\n{\n  ""query"" : {\n    ""term"" : { ""field"" : ""value"" }\n  }\n}\n```\n\nWe can then check that after parsing of the query we have an end_object that closes the query itself (which we already do). Following that we can check that the query object is immediately closed, as there are no other tokens that can be present in that position.\n\nSee https://github.com/elastic/elasticsearch/pull/19791#discussion-diff-73647510 too\n\nRelates to #20515\n Throw error if query element doesn't end with END_OBJECT >>> 1"
21,"This tracks the snippets that probably should be converted to\n`// CONSOLE` or `// TESTRESPONSE` and fails the build if the list\nof files with such snippets doesn't match the list in `docs/build.gradle`.\nSetting the file looks like\n\n```\n/* List of files that have snippets that probably should be converted to\n * `// CONSOLE` and `// TESTRESPONSE` but have yet to be converted. Try and\n * only remove entries from this list. When it is empty we'll remove it\n * entirely and have a party! There will be cake and everything.... */\nbuildRestTests.expectedUnconvertedCandidates = [\n  'plugins/discovery-azure-classic.asciidoc',\n...\n  'reference/search/suggesters/completion-suggest.asciidoc',\n]\n```\n\nThis list is in `build.gradle` because we expect it to be fairly\ntemporary. In a few months we'll have converted all of the docs and won't\nned it any more.\n\nFrom now on if you add now docs that contain a snippet that shows an\ninteraction with elasticsearch you have three choices:\n1. Stick `// CONSOLE` on the interactions and `// TESTRESPONSE` on the\n   responses. The build (specifically (`gradle docs:check`) will test that\n   these interactions ""work"". If there isn't a `// TESTRESPONSE` snippet\n   then ""work"" just means ""Elasticsearch responds with a 200-level response\n   code and no `WARNING` headers. This is way better than nothing.\n2. Add `// NOTCONSOLE` if the snippet isn't actually interacting with\n   Elasticsearch. This should only be required for stuff like javascript\n   source code or `curl` against an external service like AWS or GCE. The\n   snippet will not get ""OPEN IN CONSOLE"" or ""COPY AS CURL"" buttons or be\n   tested.\n3. Add `// TEST[skip:reason]` under the snippet. This will just skip the\n   snippet in the test phase. This should really be reserved for snippets\n   where we can't test them because they require an external service that\n   we don't have at testing time.\n\nPlease, please, please, please don't add more things to the list. After\nall, it sais there'll be cake when we remove it entirely!\n\nRelates to #18160\n Fail build if new doc snippets aren't `// CONSOLE` >>> 1"
22,"Improves the documentation for the `cluster.routing.allocation.cluster_concurrent_rebalance` setting, clarifying in which shard allocation situations the rebalance limit takes effect.\n\nCloses #20529\n Improves the documentation for `cluster.routing.allocation.cluster_concurrent_rebalance` >>> 1"
23,"This PR introduces backward compatibility index tests to test the rolling upgrade process amongst Elasticsearch instances within the same major version.  The test executes in three phases.  In the first phase, we form a cluster of 2 ES instances on an old version.  In the second phase, we keep one of the nodes from the old cluster, kill the other node, but preserve its data directory and start an instance of the current version of ES using the same data directory as the killed instance.  In the third phase, we kill the other old version ES instance from the first phase and launch a new instance, using the same data directory as the killed instance.  Therefore, during phase 3, we have fully migrated and have all current versions of ES running.  In each phase, we run REST tests that index documents and search them, ensuring at each stage that the documents from the previous phase are still there.\n\nNote that because we haven't released a GA yet of 5.0, the tests currently don't start an old version cluster in the first phase.  Once GA is released, this will be changed to make the backward compatibility version 5.0, while the current version in the cluster will be 5.x.\n Backward compatability tests for rolling upgrades >>> 1"
24,This commit modifies the logger names within Elasticsearch to be the\nfully-qualified class name as opposed removing the org.elasticsearch\nprefix and dropping the class name. This change separates the root\nlogger from the Elasticsearch loggers (they were equated from the\nremoval of the org.elasticsearch prefix) and enables log levels to be\nset at the class level (instead of the package level).\n\nCloses #20326\n Complete Elasticsearch logger names >>> 1
25,"Since #19975 we are aggressively failing with AssertionError when we catch an ACE\ninside the InternalEngine. We treat everything that is neither a tragic even on\nthe IndexWriter or the Translog as a bug and throw an AssertionError. Yet, if the\nengine hits an IOException on refresh of some sort and the IW doesn't realize it since\nit's not fully under it's control we fail he engine but neither IW nor Translog are marked\nas failed by tragic event while they are already closed.\nThis change takes the `failedEngine` exception into account and if it's set we know\nthat the engine failed by some other even than a tragic one and can continue.\n\nThis change also uses the `ReferenceManager#RefreshListener` interface in the engine rather\nthan it's concrete implementation.\n\nRelates to #19975\n Take refresh IOExceptions into account when catching ACE in InternalEngine >>> 1"
26,"Currently all the reroute-like methods of `AllocationService` return a result object of type `RoutingAllocation.Result`. The result object contains the new `RoutingTable` and `MetaData` plus an indication whether those were changed. The caller is then responsible of updating a cluster state with these. These means that things can easily go wrong and one can take one of these but not the other causing inconsistencies. We already have a utility method on the `ClusterState` builder that does but no one forces you to do so. Also 99% of the callers do the same thing: i.e., check if the result was changed and if so update the very same cluster state that was passed to `AllocationService`.  This PR folds this pattern into `AllocationService` and changes almost all it's methods to return a new cluster state (potentially the original one).  This saves some 500 lines of code.\n\nThe one exception here is the reroute API which executes allocation commands and potentially returns an explanation as well (next to the routing table and metadata). That API now returns a `CommandsResult` object which encapsulate a cluster state and the explanation. \n Remove `RoutingAllocation.Result` >>> 1"
27,"Some objects like maps, iterables or arrays of objects can self-reference themselves. This is mostly due to a bug in code but the XContentBuilder should be able to detect such situations and throws an IllegalArgumentException instead of building objects over and over until a stackoverflow occurs.\n\ncloses #20540\ncloses #19475\n XContentBuilder: Avoid building self-referencing objects >>> 1"
28,"Currently the top level spec_id serves as a human-readable description of the ranking evaluation API call. Since there is only one id possible, it can be dropped to simplify the request.\n\nCloses #20438\n RankEval: Remove top level `spec_id` >>> 1"
29,It looks like [I lost it](https://github.com/elastic/elasticsearch/commit/1cc5ee7ad9be4412392b0f7e4de53c1c8b5fdd10#diff-ae608cc41abb24a78fb363cb8e415572L93) during lucene 4.0 migration. \n Named analyzer should close the analyzer that it wraps >>> 1
30,"Previously node attributes could be set via node.\* but this now requires\nusing node.attr.*. This commit fixes some leftover usages of the old\nway.\n\nThe command-line arguments for Elasticsearch must now be specified using\n-E. This commit fixes the usage of command-line arguments in the REST\nAPI spec README.\n\nRelates #17402, relates #18198,  closes #20542\n Node attributes and REST API spec README >>> 1"
31,"We can now run templates using `explain` and/or `profile` parameters.\nWhich is interesting when you have defined a complicated profile but want to debug it in an easier way than running the full query again.\n## Explain\n\nYou can use `explain` parameter when running a template:\n\n``` js\nGET /_search/template\n{\n  ""file"": ""my_template"",\n  ""params"": {\n    ""status"": [ ""pending"", ""published"" ]\n  },\n  ""explain"": true\n}\n```\n## Profiling\n\nYou can use `profile` parameter when running a template:\n\n``` js\nGET /_search/template\n{\n  ""file"": ""my_template"",\n  ""params"": {\n    ""status"": [ ""pending"", ""published"" ]\n  },\n  ""profile"": true\n}\n```\n Add profile and explain parameters to template API >>> 1"
32,"Adds a cat api endpoint: `/_cat/templates` and its more specific version, `/_cat/templates/{name}`.\n\nIt looks something like:\n\n```\n$ curl ""localhost:9200/_cat/templates?v""\nname                  template     order version\nsushi_california_roll *avocado*    1     1\npizza_hawaiian        *pineapples* 1\npizza_pepperoni       *pepperoni*  1\n```\n\nThe specified version (only allows \* globs) looks like:\n\n```\n$ curl ""localhost:9200/_cat/templates/pizza*""\nname            template     order version\npizza_hawaiian  *pineapples* 1\npizza_pepperoni *pepperoni*  1\n```\n\nPartially specified columns:\n\n```\n$ curl ""localhost:9200/_cat/templates/pizza*?v=true&h=name,template""\nname            template\npizza_hawaiian  *pineapples*\npizza_pepperoni *pepperoni*\n```\n\nThe help text:\n\n```\n$ curl ""localhost:9200/_cat/templates/pizza*?help""\nname     | n | template name\ntemplate | t | template pattern string\norder    | o | template application order number\nversion  | v | version\n```\n\nCloses #20467 \n Provides a cat api endpoint for templates. >>> 1"
33,This change adds tests for the snippets in the get and bulk API documentation.\n Add CONSOLE tests for snippets in get and bulk API docs >>> 1
34,This commit makes `ByteSizeUnit` implement `Writeable`.\n Make ByteSizeUnit implements Writeable >>> 1
35,The serial collector is not suitable for running with a server\napplication like Elasticsearch and can decimate performance and lead to\ncluster instability. This commit adds a bootstrap check to prevent usage\nof the serial collector when Elasticsearch is running in production\nmode.\n Add serial collector bootstrap check >>> 1
36,"This commit removes `ByteSizeValue`'s methods that are duplicated (ex: `mbFrac()` and `getMbFrac()`) in order to only keep the `getN` form.\n\nIt also renames `mb()` -> `getMb()`, `kb()` -> `getKB()` in order to be more coherent with the `ByteSizeUnit` method names.\n Remove duplicate methods in ByteSizeValue >>> 1"
37,"We were using maven snapshots during heavy development, but this should\nnot be something generally available (we should never release depending\non a snapshot version in maven). This change removes the snapshot repo.\nIf we ever need it temporarily for some reason, we can add it if/when\nit is necessary.\n\nrelates #20559\n Build: Remove maven central snapshots from repositories >>> 1"
38,"This change removes the old maven deploy that we have in parallel to\nmaven-publish, and makes maven-publish fully work with publishing to\nmaven local. Using `gradle publishToMavenLocal` should be used to\npublish to .m2.\n\nNote that there is an unfortunate hack that means for\nzip artifacts we must first create/publish a dummy pom file, and then\nfollow that with the real pom file. It would be nice to have the pom\nfile contains packaging=zip, but maven central then requires sources and\njavadocs. But our zips are really just attached artifacts, so we already\nset the packaging type to pom for our zip files. This change just works\naround a limitation of the underlying maven publishing library which\nsilently skips attached artifacts when the packaging type is set to pom.\n\nrelates #20164\ncloses #20375\n Build: Remove old maven deploy support >>> 1"
39,"IndexResponse#toString method outputs an error caused by the shards object needing to be wrapped into another object. It is fixed by calling a different variant of Strings.toString(XContent) which accepts a second boolean argument that makes sure that a new object is created before outputting ShardInfo. I didn't change ShardInfo#toString directly as whether it needs a new object or not very much depends on where it is printed out. IndexResponse seemed a specific case as the rest of the info were not json, hence the shards object was the first one, but it is usually not the case.\n fix IndexResponse#toString to print out shards info >>> 1"
40,This commit adds a new test `TribeIT#testClusterStateNodes()` to verify that the tribe node correctly reflects the nodes of the remote clusters it is connected to. It also changes the existing tests so that they use two `InternalTestCluster` clusters now.\n Improve TribeIT tests >>> 1
41,Adds some javadoc with more explanation on how to extend Plugin and\nwhy we have all these `@Deprecated public final` `onModule` methods.\n\nCloses #20564\n Better explain Plugin >>> 1
42,"With the unified release process across the elastic stack, download\nlinks for all products are changing. This change updates docs referring\nto the old download and packages urls.\n\nNote that this change also updates the plugin installation command as\nthe url for downloads is being changed to be consistent with that for\npackages (both plural).\n Convert old download links to unified release urls >>> 1"
43,"Today when CLI tools are executed, logging statements can intentionally\nor unintentionally be executed when logging is not configured. This\nleads to log messages that the status logger is not configured. This\ncommit reworks logging configuration for CLI tools so that logging is\nalways configured.\n Ensure logging is initialized in CLI tools >>> 1"
44,Gradle appears to have a bug in maven publishing which will not match the\nartifactId of a generated pom with the artifact id it puts in the file.\nThis adds back a copy hack from the original pom file name to the client\npom file name (which we had before #20403 inadvertently\nremoved it).\n Build: Add back hack for client copying client jar pom >>> 1
45,"so that we at least include total hits, otherwise also total hits would be equal to zero.\n\nPR for #20501\n If size / offset are out of bounds just do a plain count >>> 0"
46,This tests that the templates shipped with pre-5.0 versions of Logstash\nand Boats still work on an Elasticsearch 5.0+ node. We need to ensure\nthat ES can be upgraded prior to upgrading tools dependant on it.\n\nThis is by no means an exhaustive test of all template settings but it\nis a start on #17275\n Add rudimentary logstash and beats template BWC tests >>> 0
47,Long running searches now can be cancelled using standard task cancellation mechanism.\n Makes search action cancelable by task management API >>> 1
48,This commit removes/replaces some references to version 3.0.0.\n Remove reference to version 3.0.0 >>> 1
49,"Due to a typo, each exception is getting sent to recipients twice. This manifests itself by sporadic `Transport response handler not found of id [.....]` warnings in log files on nodes connected to 2.4.0+ nodes.\n\nThis bug only exists in 2.x branch.\n Don't send exception responses twice >>> 1"
50,`index.routing.allocation.initial_recovery` is used with index shrinking to make sure the new index's primary is assigned to the node that holds a copy of each of the source index shards. Sadly with the introduction of `RecoverySource` a regression was introduced that limits the allocation of replicas of the new index.\n `index.routing.allocation.initial_recovery` limits replica allocation >>> 1
51,"reindex-from-remote should ignore unknown fields so it is mostly\nfuture compatible. This makes it ignore unknown fields by adding an\noption to `ObjectParser` and `ConstructingObjectParser` that, if\nenabled, causes them to ignore unknown fields.\n\nCloses #20504\n Make reindex-from-remote ignore unknown fields >>> 1"
52,"In order to understand how well particular queries in a joint ranking evaluation request work we want to break down the overall metric into its components, each contributed by a particular query. This change adds a `partial_result` field to the response, under which we can summarize this kind of information. Each sub-section is keyed by the query-id and currently only contains the partial metric and the unknown_docs section for each query.\n\nRelates to #20363\n RankEval: Adding partial_results section to response >>> 1"
53,"Today we define a cluster wait condition to try to wait at least a\ncertain number of nodes when running integration tests. Alas, the wait\ncondition is incorrect because wait_for_nodes>=${numNodes} will be split\nby parameter parsing on the equals sign so the request looks like it has\na parameter named wait_for_nodes>. The fact that REST param parsing is\nlenient leads to this being undiscovered. This commit fixes this issue.\n\nRelates #14719\n Fix cluster wait condition >>> 1"
54,With the switch to Log4j 2 the logger usage checker was temporarily disabled. This PR adapts the checks to work with Log4j 2 and re-enables the Gradle checks. It also fixes the wrong logger usages that have sneaked into the code base.\n\nCloses #20243 \n Fix logger usage check for Log4j 2 >>> 1
55,"This marks the ""Prevent combinatorial explosion in aggregations from\ncausing OOM"" task as done in 5.0.0.\n\nRelates to #8081 and #19394\n [DOCS] Mark combinatorial explosion in aggs as 'done' >>> 1"
56,"The build currently depends on the presence of a Git remote named origin to determine the URL that is used in the generated POM file. As this is best-effort anyhow and only required by Maven Central, this commit allows the build to run even if a Git remote with the name ""origin"" is missing.\n Allow build to run even if there is no Git remote named origin >>> 1"
57,"If your native script needs to do some heavy computation on initialization,\nthe fact that we create a new one for every segment rather than for the whole\nindex could have a negative performance impact.\n Native scripts should be created once per index, not per segment. >>> 1"
58,"- Added a new argument to the smoke tester to also specify the release hash together with the elasticsearch commit hash, so that it works again\n- Adapted to new URLs\n- Added two missing plugins.\n- Downloaded gpg only once\n\nGets now called like this\n\n```\npython3 -B ./dev-tools/smoke_test_rc.py --version X.Y.Z --release-hash $RELEASE_COMMIT_HASH --hash $ES_COMMIT_HASH--plugins x-pack\n```\n Smoke tester: Adjust to latest changes >>> 1"
59,"When an active shadow replica is reinitialized during primary promotion, the recovery stats used by the allocation decider settings `cluster.routing.allocation.node_concurrent_recoveries` and `cluster.routing.allocation.node_concurrent_incoming_recoveries` are not correctly updated.\n\nFailing test: https://elasticsearch-ci.elastic.co/job/elastic+elasticsearch+5.0+multijob-unix-compatibility/os=fedora/9/console\n Update incoming recoveries stats when shadow replica is reinitialized >>> 1"
60,"When testing tribe nodes in an integration test, we should pass the classpath\nplugins of the node down to the tribe client nodes. Without this the tribe client\nnodes could be prevented from communicating with the tribes.\n Pass classpath plugins to tribe nodes >>> 1"
61,"Today on Windows we attempt to set the GC options inside an if-block if\nthe environment variable ES_GC_OPTS is not set, as is the\ndefault. Unfortunately, Windows command prompt expands variables when\ncommands are parsed, not when they are run. For an if-block, the entire\ncommand is parsed before it is run. In this case, it means that\nES_GC_OPTS is """" for the life of the if-block, and so we are repeatedly\nsetting ES_GC_OPTS to """" and then some option that we intended to be\nappending. Thus, when the if-block exists, ES_GC_OPTS is only set to\n-XX:+UseCMSInitiatingOccupancyOnly. In particular, it means that the CMS\ncollector is never enabled and Windows users are sent to serial GC\npurgatory. This commit fixes this bug by enabling delayed expansion\naround the bad if-block.\n\nRelates #20558\n Fix Windows GC options >>> 1"
62,"@nik9000 found a bug related to String concatenation with the following query:\n\n```\ncurl -XPOST localhost:9200/_reindex?pretty&workers=5 -d{\n    ""source"": {\n      ""index"": ""source""\n    },\n    ""dest"": {\n      ""index"": ""source2""\n    },\n    ""script"": {\n      ""inline"": ""ctx._id += params.i + '.' + ctx._id"",\n      ""params"": {\n        ""i"": ""i""\n      }\n    }\n  }\n```\n\nThis PR fixes the bug which was related to an extra append being called since the assignment node was doing an erroneous check to see if the append was necessary.\n Fix String Concatenation Bug In Painless >>> 1"
63,"Surprise! You can use sliced scroll to easily parallelize reindex\nand friend. They support it because they use the same infrastructure\nas a regular search to parse the search request. While we would like\nto make an ""automatic"" option for parallelizing reindex, this manual\noption works right now and is pretty convenient!\n Document that sliced scroll works for reindex >>> 1"
64,- Remove the mention of using 0 to represent no throttle\n- Specify that the float must be greater than 0.\n\nSee #20625\n Update description for requests_per_second >>> 1
65,This is a issue in all 2.x releases that if we run into a FlushNotAllowedEngineException\non a replica (ie. a flush is already running) we fail the replica. We should just ignore this\nexception and not fail the shard.\n\nNote: this is against 2.x only. Master changed in #20597\nRelates to #20569\n Don't fail replica if FlushNotAllowedEngineException is thrown >>> 1
66,"Today we hold on to all possible tokenizers, tokenfilters etc. when we create\nan index service on a node. This was mainly done to allow the `_analyze` API to\ndirectly access all these primitive. We fixed this in #19827 and can now get rid of\nthe AnalysisService entirely and replace it with a simple map like class. This\nensures we don't create a gazillion long living objects that are entirely useless since\nthey are never used in most of the indices. Also those objects might consume a considerable\namount of memory since they might load stopwords or synonyms etc.\n\nCloses #19828\n Remove AnalysisService and reduce it to a simple name to analyzer mapping >>> 1"
67,"This PR removes the FailedRerouteAllocation and StartedRerouteAllocation\nclasses, as they were just wrappers for RerouteAllocation that stored\nstarted and failed shards, but these started and failed shards can\nbe passed in directly to the methods that needed them, removing the\nneed for this wrapper class and extra level of indirection.\n Removes FailedRerouteAllocation and StartedRerouteAllocation >>> 1"
68,"When initializing a new index routing table, we make a decision where the primary shards should be recovered from. This can be an empty folder for new indices, a set of specific allocation ids for old indices or a snapshot. We currently allow callers of `IndexRoutingTable.initializeEmpty` to supply the source but also set it automatically if null is given. Sadly the current logic is reusing the supplied parameter to store the result of the automatic decision. This is flawed if some of the decision should be _different_ between the different index shard (as the first decision that is maid sticks).\n\n This commit fixes this but also simplifies the API to always make an automatic decision.\n\nThis was discovered while working on #20637 which strengthens the testing infra and caused this to bubble up. I put it as a separate PR to make sure it is not lost as part of a bigger test only PR.\n IndexRoutingTable.initializeEmpty shouldn't override supplied primary RecoverySource >>> 1"
69,"Many of our unit tests instantiate an `AllocationService`, which requires having a `GatewayAllocator`. Today almost all of our test use a class called `NoopGatewayAllocator` which does nothing, effectively leaving all shard assignments to the balanced allocator. This is sad as it means we test a system that behaves differently than our production logic in very basic things. For example, a started primary that is lost will be assigned to a node that didn't use to have it.\n\nThis PR removes `NoopGatewayAllocator` in favor of a new `TestGatewayAllocator` that inherits the standard `GatewayAllocator` and overrides shard information fetching to return information based on historical assignments the allocator has done. The only exception is `BalanceConfigurationTests` which does test only the balancer and I opted to not have it work around the `GatewayAllocator` being in it's way.\n\nThe PR also fixes all resulting failures _plus_ one production failure for which I will open a dedicated PR (note - that fix is included here as well to make sure it works).\n Remove NoopGatewayAllocator in favor of a more realistic mock >>> 1"
70,"We're changing the URLs for the repos, and while the new URLs are in the install docs, we should be explicit and put it in the breaking changes so users don't assume they can just change the version number in the URL.\n Repo changes are breaking >>> 1"
